"codmpio","ano","cod_dpto","depto","mpio","pobl_rur","pobl_urb","pobl_tot","indrural","altura","discapital","docen_total","t_establ","alumn_med","s11_ingles","s11_lectu","df_ing_propios","df_gast_inv","df_desemp_fisc","homicidios","extorsion","ataq_instpol","llegadas_pasajeros_nacionales","llegadas_internacionales","visitantes_extranjeros_no_residentes","visitantes_pnn","prestadores_de_servicios_turisticos_activos","establecimientos_de_alojamiento_y_hospedaje","actividades_terciarias","valor_agregado","participacion_terciarias","pdet","total_sisben","tasa_sisben","post","vocacion_turistica","tasa_homicidios","tasa_ataq_instpol","tasa_extorsion","log_t_establ","log_pobl_tot","tasa_docentes","tasa_alumnos_med","tasa_urbanizacion","valor_agregado_pc"
"05002",2014,"05","Antioquia","Abejorral",12746,6636,19382,0.657620489597321,2275,58.2008743286133,180,67,362,48.202995300293,51.5666923522949,55.8731462868596,88.6658739247593,70.1124051715712,4,,0,0,0,664,0,0,0,104.83406434584,159.844908051848,65.5848632424595,0,0,0,0,0,20.6377050871943,0,,4.21950770517611,9.87215167222628,0.928696728923744,1.86771231039108,34.2379527396554,0.824708018015934
"05002",2015,"05","Antioquia","Abejorral",12609,6681,19290,0.653654754161835,2275,58.2008743286133,176,64,345,48.5186767578125,50.0583114624023,57.4764928814143,90.3024016325257,71.8401952098306,5,2,0,0,0,567,0,0,0,108.906871510264,172.950167749459,62.9700872380939,0,0,0,0,0,25.9201658890617,0,10.3680663556247,4.17438726989564,9.86739394488789,0.912389839294971,1.78849144634526,34.6345256609642,0.896579407721407
"05002",2016,"05","Antioquia","Abejorral",12471,6724,19195,0.649700462818146,2275,58.2008743286133,202,67,305,48.3144760131836,50.9470252990723,51.16,88.14,68.49,7,1,0,0,0,492,0,0,0,116.293006662,202.311690580124,57.4820991948276,0,17356,90.4193800468872,0,0,36.4678301641052,0,5.20969002344361,4.21950770517611,9.86245720297814,1.05235738473561,1.5889554571503,35.0299557176348,1.05398119604128
"05002",2017,"05","Antioquia","Abejorral",12331,6765,19096,0.64573734998703,2275,58.2008743286133,196,67,296,47.4718589782715,49.0704154968262,58.9968852917165,87.9548993623246,68.553703513275,2,1,0,0,0,461,0,0,0,126.139403834931,234.833122135308,53.7144857113686,0,17219,90.1707163803938,1,0,10.4733975701718,0,5.23669878508588,4.21950770517611,9.85728653363541,1.02639296187683,1.55006284038542,35.426267281106,1.22975032538389
"05002",2018,"05","Antioquia","Abejorral",12693,7674,20367,0.62321400642395,2275,58.2008743286133,193,68,294,47.6845779418945,48.8551750183105,58.0410085,89.01649203,71.48823994,5,2,0,0,0,792,0,0,0,132.838163951381,231.172055488958,57.4628986494115,0,17149,84.1999312613542,1,0,24.5495163745274,0,9.81980654981097,4.23410650459726,9.92172032079719,0.947611332056758,1.44351156282221,37.6785977316247,1.13503243231187
"05002",2019,"05","Antioquia","Abejorral",12481,7777,20258,0.616102278232574,2275,58.2008743286133,197,69,289,46.4509544372559,47.7464027404785,58.9610487681639,89.023601379997,69.8742360497114,4,5,0,0,0,1522,0,0,0,145.643472395057,244.497252732592,59.5685516983488,0,18516,91.4009280284332,1,0,19.7452858130121,0,24.6816072662652,4.24849524204936,9.91635441824295,0.972455326290848,1.42659689999013,38.3897719419489,1.20691703392532
"05002",2020,"05","Antioquia","Abejorral",12377,7910,20287,0.610095143318176,2275,58.2008743286133,197,69,287,47.8025207519531,48.499755859375,56.31,87.37,69.83,5,1,,0,0,396,0,0,0,128.435547982209,242.227452552368,53.0227051594997,0,18390,90.6491842066348,1,0,24.6463252329078,,4.92926504658155,4.24849524204936,9.91778485723695,0.971065214176566,1.41469906836891,38.9904865184601,1.19400331518888
"05002",2021,"05","Antioquia","Abejorral",12237,8365,20602,0.593971431255341,2275,58.2008743286133,198,67,282,47.0108070373535,49.733470916748,54.9771228123829,87.1637491776121,66.5278128702194,2,3,,0,0,735,0,0,0,151.283683443756,336.973884852359,44.8947797572025,0,12768,61.9745655761577,1,0,9.70779535967382,,14.5616930395107,4.21950770517611,9.93319197524246,0.961071740607708,1.36879914571401,40.6028540918357,1.63563675785049
"05004",2013,"05","Antioquia","Abriaquí",1455,776,2231,0.652173936367035,1900,63.8546333312988,23,13,53,47.9147453308105,,19.35,78.02,58.87,,,0,0,0,19,0,0,0,11.8049580284803,17.6466855956711,66.8961769873441,0,0,0,0,0,,0,,2.63905732961526,7.7106533235012,1.03092783505155,2.37561631555356,34.7826086956522,0.790976494651325
"05004",2014,"05","Antioquia","Abriaquí",1411,764,2175,0.648735642433167,1900,63.8546333312988,22,13,53,47.8355712890625,44.8252868652344,25.4023371110389,76.7618243564078,59.8473273638132,,1,0,0,0,23,0,0,0,12.7085918219162,18.7900721209979,67.6346090641898,0,0,0,0,0,,0,45.9770114942529,2.63905732961526,7.68524360797583,1.01149425287356,2.4367816091954,35.1264367816092,0.863911361884961
"05004",2015,"05","Antioquia","Abriaquí",1377,751,2128,0.647086441516876,1900,63.8546333312988,34,12,51,46.2978744506836,45.2368698120117,30.4374717346829,79.8507968344839,52.7468468786541,,,0,0,0,6,0,0,0,13.2014785945231,18.1970299049558,72.5474358369206,0,0,0,0,0,,0,,2.56494935746154,7.66340766489348,1.59774436090226,2.39661654135338,35.2913533834586,0.855123585759201
"05004",2016,"05","Antioquia","Abriaquí",1337,738,2075,0.644337356090546,1900,63.8546333312988,33,13,52,48.4478302001953,49.0852012634277,23.55,82.21,61.32,,,0,0,0,19,0,0,0,14.1273730269898,20.1716968823529,70.0356202523997,0,1937,93.3493975903614,0,0,,0,,2.63905732961526,7.63819824428578,1.59036144578313,2.50602409638554,35.566265060241,0.972129970233874
"05004",2017,"05","Antioquia","Abriaquí",1295,724,2019,0.641406655311584,1900,63.8546333312988,21,13,55,47.017749786377,49.5112991333008,30.7697019945399,82.7489803232529,63.1369376355709,1,2,0,0,0,10,0,0,0,14.9548149984797,21.6746092649207,68.9969300746905,0,1997,98.9103516592373,1,0,49.5294700346706,0,99.0589400693412,2.63905732961526,7.61085279039525,1.04011887072808,2.72412085190688,35.8593363051015,1.07353191010008
"05004",2018,"05","Antioquia","Abriaquí",1871,824,2695,0.694248616695404,1900,63.8546333312988,21,13,51,44.8547477722168,45.5838775634766,37.36142443,79.95835396,61.02025518,,,0,0,0,12,0,0,0,17.5872367985612,28.5626624310007,61.574220684248,0,1990,73.8404452690167,1,0,,0,,2.63905732961526,7.8995244720322,0.779220779220779,1.89239332096475,30.5751391465677,1.05983905124307
"05004",2019,"05","Antioquia","Abriaquí",1877,833,2710,0.692619919776917,1900,63.8546333312988,20,12,46,47.2102470397949,48.3891563415527,36.7910973777501,85.4198368507653,66.0814090003673,,1,0,0,0,30,0,0,0,20.0764954012097,31.8172834114656,63.0993386254183,0,2028,74.8339483394834,1,0,,0,36.90036900369,2.56494935746154,7.90507284949867,0.738007380073801,1.69741697416974,30.7380073800738,1.17406949857807
"05004",2020,"05","Antioquia","Abriaquí",1888,847,2735,0.690310776233673,1900,63.8546333312988,20,12,35,46.3052978515625,44.613109588623,36.9,80.51,59.83,,,,0,0,7,0,0,0,18.3053711722268,32.9222906268348,55.6017543849338,0,2075,75.8683729433272,1,0,,,,2.56494935746154,7.91425227874244,0.731261425959781,1.27970749542962,30.9689213893967,1.20374005948208
"05004",2021,"05","Antioquia","Abriaquí",1867,910,2777,0.672308266162872,1900,63.8546333312988,20,11,42,44.2075462341309,48.9167709350586,31.3236814264679,86.2520911671345,60.3809674762812,,,,0,0,33,0,0,0,21.6385609579033,38.2615643589296,56.5543027852003,0,1805,64.9981994958588,1,0,,,,2.484906649788,7.92948652331429,0.72020165646381,1.512423478574,32.7691753691034,1.37780210150989
"05021",2013,"05","Antioquia","Alejandría",1726,1824,3550,0.486197173595428,1750,61.1142158508301,44,16,56,45.4276695251465,,33.38,86.91,62.14,1,,0,0,0,6,0,0,0,26.6785442214515,37.736770504121,70.6964158963686,0,0,0,0,0,28.169014084507,0,,2.83321334405622,8.17498453294309,1.23943661971831,1.57746478873239,51.3802816901408,1.06300761983439
"05021",2014,"05","Antioquia","Alejandría",1684,1818,3502,0.480868071317673,1750,61.1142158508301,39,16,94,45.9543914794922,48.4287605285645,44.3421594245531,90.5038431030874,67.7070883937129,,,0,0,0,11,0,0,0,28.8321353627974,39.9522438481053,72.1664982633127,0,0,0,0,0,,0,,2.83321334405622,8.16137502319749,1.11364934323244,2.68418046830383,51.9131924614506,1.14084077236166
"05021",2015,"05","Antioquia","Alejandría",1654,1812,3466,0.477207154035568,1750,61.1142158508301,36,16,57,45.1671562194824,49.4001846313477,63.186127661278,89.0369721963659,62.9122794511882,1,,0,0,0,3,0,0,0,32.1515292577195,42.6393266263424,75.4034638948929,0,0,0,0,0,28.8517022504328,0,,2.83321334405622,8.15104494568502,1.03866128101558,1.64454702827467,52.2792844777842,1.23021715598218
"05021",2016,"05","Antioquia","Alejandría",1627,1808,3435,0.473653554916382,1750,61.1142158508301,35,16,59,46.1612663269043,48.8728675842285,48.09,78.87,64.56,1,,0,0,0,7,0,0,0,34.8299882893266,46.5604663375943,74.8059266348108,0,4273,124.395924308588,0,0,29.1120815138282,0,,2.83321334405622,8.14206328310415,1.01892285298399,1.71761280931587,52.6346433770015,1.3554720913419
