"Grupo","Municipios","Con_dato","Promedio","Mediana","Desviacion","Minimo","Q1","Q3","Maximo"
"No PDET",1057,952,0.560173625765505,0.59505107667711,0.243251837997145,0.00127412628434185,0.392270319163799,0.749072877897157,1
"PDET",170,170,0.562806618472963,0.583591231041484,0.225198182932915,0.0633710299928983,0.435711314280828,0.737886276510027,0.95259463124805
